question,answer,source
How do I earn term honors?,"View the Chancellor's List and Provost's List To view the students who were named to the Chancellor's List and Provost's List, visit the Troy University Achievements web page. Chancellor's Honor List Full-time undergraduate students who are registered for 12 semester hours and who earn a grade point average of 4.00 qualify for the Chancellor’s List, which is published at the end of each term. A Troy University part-time student who earns a 4.00 grade point average on twelve consecutive semester hours of credit will also be named on the Chancellor’s List. Provost's Honor List Full-time undergraduate students who are registered for 12 semester hours and who have a grade point average of 3.65 or higher qualify for the Provost’s List, which is published at the end of each term. A Troy University part-time student who averages 3.65 or higher on twelve consecutive semester hours of credit will also be named on the Provost’s List.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44377
How do I get a copy of my academic evaluation?,"Official Academic Evaluation To submit a request for an official academic evaluation, please complete and submit the form which can be found on the Academic Records Forms web page. Unofficial Academic Evaluation To view and print an unofficial academic evaluation, login to Student Planning and click on My Progress.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44649
Where can I find information about Faculty Success?,"Faculty Success (Formerly Digital Measures) Faculty Success' Activity Insight (FS) is a web enabled information management system designed to allow faculty to compile, track, and extract all their professional information including teaching, grants, publications, and awards. It also assists faculty with maintaining an ongoing record of their accomplishments at Troy University. More Information For more information, please visit the Faculty Success web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44850
What is the status of information services?,"Status of Information Services The current status of Active Admissions, Canvas, Core Network Services, Datatel, Document Imaging, Adobe Sign, Helpdesk, IRPE Server, Library Online Catalog, E-mail, and Self-service can be viewed on the SOS - Emergency Information web page. Weather and Emergency Situations The SOS - Emergency Information web page also gives information about current weather and emergency situations, contact information for emergency situations, and instructions for subscribing to SOS to receive weather and emergency alerts.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44830
How do I access social media?,"TROY News Visit TROY Today for the latest news about TROY. Social Media Stay connected with the people, places, and organizations that make up Troy University by following the social media platforms listed on the Social Hub .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44754
Where can I find APA and MLA referencing guidelines?,Information about citing resources can be found on the Library Information & Help web page.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44801
How much are library fines?,"Library fines for overdue materials, maximum number of items that may be checked out, and other circulation policies for the Troy University Libraries can be found in the Circulation Policies . To access a Troy University library, click here . For more information about a Troy University library, click one of the following choices. Dothan Campus The Dothan Campus Library is located in R. Terry Everett Hall. Montgomery Campus The Rosa Parks Library is located on the Montgomery, Alabama campus on the corner of Molten Street and Montgomery Street. Troy Campus/Phenix City Campus The Troy Campus Library is located in Lurleen B. Wallace Hall on Luther Drive. TROY Online The TROY Online Library is located online.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44402
Is there a library on campus?,"Libraries To access a Troy University library, click here . For more information about a Troy University library, click one of the following choices. Dothan Campus The Dothan Campus Library is located in R. Terry Everett Hall. Montgomery Campus The Rosa Parks Library is located on the Montgomery, Alabama campus on the corner of Molten Street and Montgomery Street. Troy Campus/Phenix City Campus The Troy Campus Library is located in Lurleen B. Wallace Hall on Luther Drive. TROY Online The TROY Online Library is located online. Library Information and Policies Information about what each campus library offers, library fines for overdue materials, maximum number of items that may be checked out, information about reserve materials, and other information about the libraries can be found in the Circulation Policies .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44549
Where can I find information on Rosa Parks and the Rosa Parks Museum?,"On December 1, 2000, Troy University held the dedication of the Rosa Parks Library and Museum on the Montgomery, Alabama campus. For more information about Rosa Parks, the Rosa Parks Library, or the Rosa Parks Museum, visit the Rosa Parks Library and Museum web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44440
Do you offer online courses/programs?,"Online Courses and Online Degree Programs with TROY Online In today’s fast paced world, it’s become vital to offer students more options for taking courses that make it easier for them to do what they want-when they want. As a part of an important and growing Troy University mission, we meet those to offer you a variety of courses and curriculums that allow you to complete your accredited degree entirely online through TROY Online . Our courses are taught through Canvas . This learning management system makes it convenient to complete your course work at any time - day or night - from anywhere in the world. Our team is dedicated to providing online learners with direct assistance by promoting and constantly evaluating our courses and programs so that you get the most out of earning your online degree from Troy University. With TROY, you’ll obtain a degree from an institution that is regionally accredited by the Commission on Colleges of the Southern Association of Colleges and Schools. Online programs and courses are offered for full-time students, part-time students, undergraduate students, and graduate students. Students may take online courses and on campus courses at the same time. Online Degree Programs To view all of the online degree programs available, visit the Academic Programs web page and choose ""TROY Online"". Online Schedule of Classes To view a schedule of online classes, visit the TROY Online Schedule of Classes web page. Contact Information For TROY Online contact information, visit the TROY Online Contact Us web page. Getting Started To get started with online classes, visit the TROY Online website. eConnections eConnections presents a unique opportunity to students who need to remain in their communities while completing their four-year degree. To learn more, visit the eConnections web page. More Information For more information about online learning, visit the TROY Online website.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44659
How do I register for a closed course?,"Registering for a Closed Course Once a course has been closed, students will not be able to register for that particular course. It is very important that students pay close attention to registration dates. Registering as soon as registration starts gives you a better advantage of getting into the course of interest.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44866
How do I get a course description?,"Course Descriptions A description of each course and the prerequisites for each course are available in the Graduate Academic Catalog and the Undergraduate Academic Catalog . Prerequisites are additional courses that are required to be taken before you can register for the course it is listed under. Questions or concerns about prerequisites should be addressed with your advisor. To view all undergraduate and graduate academic catalogs that are available, please visit the Academic Catalogs web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44737
Do you offer GED preparation classes?,GED Preparation Classes Preparation courses for the GED Examination are not offered at TROY.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44849
Is there a standard rotation of courses?,"Rotation of Courses The Troy, Alabama campus has three sixteen-week semesters that we refer to as Fall, Spring, and Summer. The Montgomery campus, Dothan campus, Phenix City campus, TROY Online, and TROY Service Centers have five nine-week accelerated semesters known as terms and we refer to those terms as T1, T2, T3, T4, and T5. For a list of courses that have been approved by the deans for each college or prospective school that are being offered, you will need to refer to the schedule of courses for the particular term or semester, as well as location, you are registering for. For questions about independent study courses or courses not being offered for you to graduate, you will need to contact your academic advisor.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44763
How do I get a course syllabus?,"Course Syllabus Current Students: For TROY Online courses: A course syllabus will be posted inside your Canvas courses. You may access the course syllabus once your course has been made available by your instructor. Note: The date TROY Online courses will be made available to students is posted in the TROY Online Academic Calendar . For other courses: If your instructor is using Canvas for your course, a course syllabus may be posted inside your Canvas course. You may access the course syllabus once your course has been made available by your instructor. For in-class courses, if your syllabus is not posted in Canvas inside your course or if your instructor is not using Canvas, a course syllabus will be provided to you on the first day of class. Previous Students: Contact the departmental secretary for the department that housed the course. For departmental contact information use this link ​ https://my.troy.edu/records/assets/documents/Subject-Contact-Listing.pdf",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44696
How do I submit my assignments?,"Assignments To view information about submitting assignments in your Canvas course, login to Canvas , click the Student Resources link on the left side of the page, and click the Tutorials box. Canvas Support For assistance with Canvas, go to https://canvas.troy.edu and click the ""Need Help?"" box. Or, login to Canvas at https://canvas.troy.edu and click the ""Help"" button on the left side of the page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44841
What is the BankMobile Card?,"Refunds from BankMobile To receive any refunds from Troy University, a student must activate his or her refund preference with BankMobile. Once registration occurs, a Personal Code will be sent to the email address on record with the school.  Once the email is received, simply follow these steps to make your refund preference selection: Follow the link in the email provided Enter your personal code (Found in the email) Select how you’d like to receive your money Your options for receiving your refunds are: Deposit to an existing account – Money is transferred to an existing account the same business day BankMobile receives funds from your school.  Typically, it takes 1 – 2 business days for the receiving bank to credit the money to your account Deposit to a BankMobile Vibe account – If you open a BankMobile Vibe checking account (upon identity verification), money is deposited the same business day BankMobile receives funds from your school. Visit the Troy Refunds web page for information concerning activating your refund preference, finding your Personal Code, choosing your refund option, and much more. When Will You Receive Your Refund? Funds start disbursing to student accounts after the last day of free drop/add. The policy of disbursing after the last day of free/drop add is a University Policy created by the senior administration. Student Financial Services will issue refunds within 3 full days of a credit balance on the account (usually three weeks after the first day of classes). Students are expected to be prepared with sufficient funds for maintenance, books, and supplies for at least three to four weeks. Important Dates For a list of important dates, visit the Academic Calendar web page, the Office of Financial Aid Calendar web page, or the Priority Dates/Deadlines web page. Contact Information For more information about the topics listed above, please contact Student Financial Services .",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44690
Can I pay with a post-dated check?,"No. Student Financial Services of Troy University is not allowed to hold checks; therefore, a student should not make a payment with a post-dated check.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44812
How and when will I receive my financial aid and scholarship?,"Receiving Your Financial Aid Offer Letters The Office of Financial Aid will notify you of the financial aid you are being offered. Awarding usually begins in the spring prior to the academic year for which aid is being requested. Instructions for accepting your awards will be sent to the student via email. For more information about your award letter, please visit the Office of Financial Aid here: Financial Aid Award Process . Disbursements Funds are disbursed to student accounts the day after the last day of free drop/add. The policy of disbursing after the last day of free/drop add is a University Policy created by the senior administration. Refunds Student Financial Services will issue refunds within 3 full days of a credit balance on the account (usually three weeks after the first day of classes). Students are expected to be prepared with sufficient funds for maintenance, books, and supplies for at least three to four weeks. If tuition is to be paid with financial aid (loans, grants, scholarships, etc) and all financial aid eligibility requirements have been met, financial aid will be applied to the student’s account after the 100% drop/add period ends. Then, if a refund is due to the student, it will be paid to the student based on the current BankMobile refund preference setup by the student. Calendar of Dates For a list of important dates, visit the Academic Calendar web page, the Office of Financial Aid Calendar web page, or the Priority Dates/Deadlines web page. Contact Financial Aid Office For contact information, please visit the Office of Financial Aid Contact Us web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44749&SIDs=1765
Does Troy University offer a payment plan?,"Payment Plan Students on a semester format with an account balance after the first payment due date will be placed in a two-part payment plan and will be assessed a $25.00 payment plan fee. One-half of the amount owed Troy University will be due on the first payment due date (typically one week after the 100% free/drop add period ends). Students may apply the following toward the first payment: Awarded institutional scholarship Awarded financial aid Payment by paper check, money order, cash, debit card or credit card The remaining amount owed by the final payment due date. Payment due dates are published and are approximately two months apart. Financial aid above what is needed to cover the first payment due may be applied to the remaining payments due. The student should be prepared to pay any amount not covered by financial aid.  Failure to pay the entire balance by the final payment date will result in a late fee of $50.00. Also, failure to satisfy financial obligations to the University will result in the student's restriction from future class registration, possibly having the account assigned to a collection agency, and non-release of transcripts. It is the responsibility of the students to pay their account balance by the established payment due dates. To view the tuition payment due dates for semesters, view the Academic Calendar . A current semester debt must be paid-in-full before a student will be allowed to register for a future semester during registration dates that fall before the final payment due date. More Information More information about payments can be found on the Troy University Student Financial Services web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44412
I have PACT but it does not show on my bill.  Why?,"PACT recipients should notify the business office at the beginning of their first semester.  The student’s name, student id number or last four digits of the student's social security number is required so the University will be able to retrieve the student’s information from the PACT website. The credit from PACT (third party sponsor) is applied to the student's account after all financial aid, loans, grants, and other scholarships have been applied. Usually, sponsors credit the third or fourth week of the semester.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66490
When is the deadline to pay tuition?,"Tuition Payment Deadline Students on the Term Format To view the tuition payment due dates for terms, view the Payment Information tab on the SFS website. Students on the Semester Format Troy University encourages full payment of all tuition and related fees by the last day of the regular registration period for the current semester or term. All students are responsible for paying any balance due by the published deadlines even if a statement of account is not received. To view the tuition payment due dates for semesters, click here. A student may check his/her account balance on Student Self-Service . To check your account balance, log-in to Student Self-Service, click Students, and click View Account and Make Payments under Financial Information. Students with an account balance after the first payment due date will be placed in a two-part payment plan and will be assessed a $25.00 payment plan fee. One-half of the amount owed to Troy University will be due on the first day of class. Students may apply the following toward the first payment: Awarded institutional scholarship Awarded financial aid Payment by paper check, money order, cash, debit card or credit card The remaining amount is owed by the final payment due date. Payment due dates are published and are approximately two months apart. Financial Aid above what is needed to cover the first payment due may be applied to the remaining payments due. The student should be prepared to pay any amount not covered by Financial Aid. Failure to pay the entire balance by the final payment date will result in a late fee of $50.00. Also, failure to satisfy financial obligations to the University will result in the student's restriction from future class registration, possibly having the account assigned to a collection agency, and non-release of transcripts. It is the responsibility of the students to pay their account balance by the established payment due dates. To view the tuition payment due dates for semesters, view the Academic Calendar. A current semester or term debt must be paid-in-full before a student will be allowed to register during registration dates that fall before the final payment due date. Payment may be made using cash, check, money order, Visa, Discover, MasterCard, or American Express. Other valid forms of payment include sponsoring agency contracts, tuition assistance from various private, federal, and state funds, Alabama PACT, and faculty/staff tuition assistance. All payments made through the United States Postal Service or any parcel service should be addressed as follows: Student Financial Services 155 Adams Administration Building Troy, Alabama 36082 Checks should be made payable to Troy University and should have the student ID number written on it. Credit card payments may be made online using S tudent Self-Service. To make a payment, login to Student Self-Service, click Students, and click View Account and Make Payments under Financial Information. More Information More information about payments can be found on the Troy University Student Financial Services web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44725
"My child has PACT, and it pays tuition and fees.  Why do I owe money?",PACT pays tuition and qualified fees at a benefit rate that they determine yearly.  Please contact the SFS Office for them to provide the dollar amount.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66487
"I have called my sponsor about why my bill has not been paid, and they said that you need to send them an invoice so they can pay my account.",Has Troy been notified of the third-party billing sponsorship? Do we have the correct third-party billing information?  We must have the correct information on file and be notified of the sponsor in order to process third-party sponsors. The Business Office does not wait for the sponsor’s payment before applying a credit to the student’s account.  The student’s account is credited; the University invoices the sponsor for the payment.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66486
When will financial aid be placed on my student account?,"Financial aid (scholarship, grants and loans) for students, who have accepted and completed their financial aid process, will start processing after the end of the 100% free drop/add period has ended. Financial aid will be disbursed based on the number of registered credit hours and eligibility of each award.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44267&SIDs=1767
How much is tuition?,"Tuition and Fees Alabama Campuses : Dothan, Montgomery, Phenix City, and Troy International Students Military Students/Spouses/Dependents TROY Online TROY Service Centers Tuition Assistance Tuition Assistance - Military Active duty military persons may qualify to use the tuition assistance program. Tuition does not include the cost of textbooks or administrative fees. If a student plans to use tuition assistance, the student must complete the required application at the military education services office prior to registration and submit the completed Authorization for Tuition Assistance to the University. For more information about tuition assistance, please contact the Base Education Office or visit one of the following web pages: TROY Financial Aid TROY Online Military Information Tuition Assistance (TA) Policies Tuition Assistance - Troy University Employees Information about tuition assistance for employees of Troy University can be found on the Human Resources Tuition Assistance Policy web page. Cost of Attendance The estimated cost to attend Troy University can be viewed on the Cost of Attendance web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44657
I have a sponsor payment pending.  How do I avoid the payment plan fee?,"By the first payment due date, pay your portion of the bill that the sponsor won’t cover.  Once the sponsor pays, your account balance will be at zero, and you will avoid the payment plan fee.  If you need help calculating your portion, the Business Office can help calculate it for you.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66491
What is Student Financial Services?,"Student Financial Services Student Financial Services seeks to provide quality service in an efficient, professional, and timely manner to Troy University students, parents, faculty, staff, and other internal and external affiliates in accordance with the mission of Troy University. SFS processes all tuition, fees, room and board billing and payments. SFS also processes third party sponsors, VA payments, 1098-T's, excess FA book charges, bankruptcies, and FA disbursement transmittal. More Information and Contact Information For more information and contact information about Student Financial Services, please visit the Student Financial Services web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44476
"I have a sponsor and FA, when will I receive my refund?",Refunds for sponsors and FA are usually applied after the third or fourth week of the semester.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66508
"When will my sponsor (ex. PACT, AL GI, VA – CH 31, CH 33/Post 9-11) pay on my account?","The credit from any third party sponsor is applied to a student’s account after all financial aid, loans, grants, and other scholarships have been applied.  Usually, sponsors credit the third or fourth week of the semester.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66484
I wish to not use my PACT benefit for Summer?,Please notify Student Financial Services to inform them not to apply/invoice the sponsor anytime you wish to not use PACT. Please send these requests to billing@troy.edu or sponsorbilling@troy.edu. Student Financial Services can also be reached at 334-670-3124.,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66493
How do I know if my payment went through?,"Status of Payment A student may check the status of a payment in Student Self-Service . To check the status of a payment, login to Student Self-Service, click Students, and click View Account and Make Payments under Financial Information. More information about payments can be found on the Troy University Student Financial Services web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44868
How can I charge my textbooks?,"Book Charging If a student has been awarded financial aid through the Office of Financial Aid and has approved excess funds after all tuition, fees, meals, and housing have been paid, the student may charge required books and approved supplies, not to exceed the amount of excess financial aid, up to $1200. The book charging program is for students with approved excess financial aid, Chapter 31 VA, Alabama G.I. Dependents’ Scholarship Program, or Alabama Vocational Rehab. The student’s VA Form 1905 or other TA Form must authorize book charges and list the amount authorized to be approved for book charging. Please see the academic calendar and/or book charging schedules for book charging dates and deadlines. It is the student’s responsibility to ensure the correct textbook is purchased and received in a timely manner. Important Dates and Information Academic Calendar Book Charging Schedules TROY Online How to Order Textbooks Office of Financial Aid Calendar Office of Financial Aid Priority Dates/Deadlines Purchasing Textbooks Please refer to the “How and where can I buy my books” response.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44665
VA Chapter 33/Post 9-11: When will my payment be applied to my account?,"If VA paid tuition and fees to Troy prior to the first day of the term, it should be applied to the student’s account by the end of the fourth week of class. All payments are applied in order received.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66515
"VA Chapter 33/Post 9-11: I received a debt letter, what should I do?","Send a copy of the debt letter to dnanderson@troy.edu In the event VA created a school debt, the payment will be issued back to VA directly. School debt letters are addressed to Troy University/SCO School debts are subject to garnishment from the school by VA if unpaid In the event VA created a student debt, the payment will be issued to the student for payment to VA. Student debt letters are addressed to the student Student debts are subject to garnishment from the student by VA if unpaid",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66518
How do I pay my tuition?,"Paying Tuition and Fees Payments may be made using cash, check, money order, Visa, Discover, MasterCard, or American Express. Other valid forms of payment include sponsoring agency contracts, tuition assistance from various private, federal, and state funds, Alabama PACT, and faculty/staff tuition assistance. All payments made through the United States Postal Service or any parcel service should be addressed as follows: Student Financial Services 155 Adams Administration Building Troy, Alabama 36082 Checks should be made payable to Troy University and should have the student ID number written on it. Credit card payments may be made online through Self-Service. Students will need to log into Self-Service using their Login ID and password; just click on ""Make a payment"" under ""Student Finance"". Payments can only be accepted for current charges on a student's account. There is no charge for credit card payments. Funds must be available at the time of payment. More Information More information about payments can be found on the Student Financial Services web page. Contact Information For contact information, please visit the Student Financial Services web page.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44648
What if I don’t know how much my sponsor is paying?,Please contact Student Financial Services to determine how much your sponsor will cover. 334-670-3124,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66492
How do I find my account balance?,"Account Balance A student may check their account balance using Student Self-Service . To check your account balance, log-in to Self-Service, click on Financial Information and then Student Finance-View Account and Make Payments. More information about an account balance can be found on the Student Financial Services web page. Account Statement A student may view and print an account statement on Student Self-Service . To view and print an account statement, log-in to Self-Service, click on Students, and click on View Account and Make Payments under Financial Information. Once the term and/or semester is chosen in the drop down box, you may download a statement in the upper right hand corner. Payments Credit card payments may be made online using Student Self-Service . To make a payment, log-in to Self-Service, click on Students, and click on View Account and Make Payments under Financial Information. More information about payments can be found on the Student Financial Services web page. Contact Information If you have questions concerning an account balance, account statement, or payments, please visit the Student Financial Services Staff web page for contact information.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44418
"I have Alabama GI, what does it cover?","For anyone approved for AL GI after 2017, AL GI ACT349 will pay up to $250 per hour and up to $1,000 in books and fees per semester AFTER all scholarships and grants have been applied. AL GI will not pay for: supplies, tax, shipping, suggested reading material, classes located outside of the State of Alabama, or remedial books and courses. Remedial courses include:  ENG 0096, ENG 1100, MTH 0096, MTH 1100, MTH 1105, RED 0098, and TROY 0095.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66496
I have tuition assistance from the military and it has not paid my account.,"Please email your tuition assistance form to taforms@troy.edu . If you have already submitted your TA form, the credit should post to the student account during the 3rd or 4th week of the term/semester. Please contact the Business Office at taforms@troy.edu or billing@troy.edu for more information.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66507
How much does Florida Pre-Paid pay?,"Florida Pre-paid determines how much they will pay an out-of-state school, an average of the Florida institute rate.  The University does not know how the exact amount until the University receives a third-party billing letter stating what Florida Pre-paid will pay.  Students must notify Florida Pre-paid of their enrollment at TROY.",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=66498
What are the rules within student housing?,"The following is a list of the Troy University Housing Resident's Responsibilities. To abide by the rules and regulations set forth by the Oracle and the Policies . To comply with reasonable requests made by staff, university officials, or fellow residents. To meet all payment schedules. To monitor and accept responsibility for personal behavior and the behavior of your guest. To report violations of rules and regulations to appropriate staff. To respect the rights and diversity of others. To be serious in academic pursuits. To participate actively in self-governance. To contribute positively to the community by participating in educational and developmental activities. To assist the university in safety and security measures. For more information, the Resident's Bill of Rights, Resident's Responsibilities, Policies, and Standards of Conduct can be found on the Policies for Resident Hall Living web page. https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44389
Are new students guaranteed housing?,"In order for a new student to be guaranteed housing, the student must apply for housing by the March 1 deadline.  The deadline for new incoming students to apply for on-campus housing is March 1 for all students including international students. All new incoming students under the age of 19 prior to the first day of registration are required to reside on campus unless living at your stated home address with your parents. Students admitted to the university after this date (regardless of age) will be placed on a waiting list with no guarantee of on-campus housing. Students may reside off campus with grandparents, brothers, or sisters that may live locally. A letter requesting this must be submitted to the housing office from the parents stating they are requesting permission for their son/daughter to reside off campus with their grandparents or older son or daughter. The letter should state the name of the person they would be residing with, the relationship to the student, and the address. This letter is submitted to the Director of Housing for approval. There are special circumstances in which the student may have a legal guardian. This should be documented and accompany the request. The student, when granted permission, will fill out an off-campus card with the address they will be living at and submit it to Housing for clearance of any holds. This living arrangement would be for that academic year (fall & spring semesters). More information about the requirements for students living in on-campus housing can be found on the Troy University Housing web page. https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44431
How do I choose a roommate?,"Choosing a roommate The Troy University Student Housing Application includes a ROOMMATE PREFERENCES section in which you will indicate who you would like for your roommate to be. Roommate choice must be mutual. Assignments are based on space availability and date of contract. Please be advised that roommate preference is a request and is not a guarantee. The Housing Office will try to honor requests for roommates when space permits. When empty rooms are not available, every effort is made to put students in the same dorm or on the same floor to make moves or “swaps” easier on “MOVE DAY”. A student who does not request anyone for a roommate will be assigned at random with someone as close to their age as possible. If roommates are not compatible, they may move on “Move Day”. All parties involved in a move must be in agreement to the move. No one is forced out of a room. Opportunities are given each semester to swap. “MOVE DAY” begins the first day of class and lasts for about one week. Students may move from one room to another or to another building providing there is space for them. Students desiring to move should see the Resident Assistant or Resident Director of the building to inquire what spaces are available. The R.A.’s or R.D. will be glad to assist them with this. More information about student housing can be found on the Troy University Housing web page. https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44853
How much does housing cost?,"Cost of Housing The cost of on-campus housing at Troy University varies depending upon the facility you live in. A list of the housing facilities and the cost can be found on the Housing web page. Troy University offers co-ed residence halls, residence halls for men, residence halls for women, apartments, and houses on the Troy, Alabama campus only. Click one of the following on-campus housing facilities for a description and the cost. More information about student housing can be found on the Troy University Housing web page. Click this link for prices Housing Costs https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44863
Is alcohol allowed in student housing?,"The following policy will be enforced by the Housing and Residence Life Office. Alabama law prohibits possession or consumption of alcoholic beverages by those under the legal drinking age (21 years of age) and prohibits making alcoholic beverages available to persons under the legal drinking age. Underage students found in possession of alcoholic beverages will be asked to surrender the alcohol to the Residence Life Staff Member and a Residence Incident Form will be filled out. Residents of legal drinking age may consume alcohol only in the privacy of their room. No alcohol is to be consumed in any other areas of any residence hall. No open containers of alcohol are permitted outside of residence hall rooms. Monies collected or generated by the group may not be used to purchase alcohol. Alcoholic beverages may not be sold, under any circumstances, or given away at organized student functions within the residence halls. Common source containers (kegs, punches, or other containers) will not be allowed in or around the residence halls. Alcohol and other drug misbehavior are at any time prohibited. No student shall furnish or cause to be furnished any alcoholic beverage to any person under the legal drinking age. More information about the requirements for students living in on-campus housing can be found on the Troy University Housing web page. https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44550
How do I apply for housing?,Applying for Housing An electronic housing application and a $100.00 non-refundable fee is required to apply for on-campus housing at Troy University. Applications cannot be processed without the fee. The fee must be paid with either a MasterCard or Visa debit/credit card. Students must have their Troy University credentials (username/password) in order to apply.  To apply for on campus housing please click Apply for Housing . If you cannot apply or need assistance with the application process please contact the Troy University Housing Office at 334-670-3346 M-F 8:00am-4:30pm CST M-F or email housing@troy.edu https://www.troy.edu/student-life-resources/housing/move-in-guide.html,https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44502
Where are the residence halls located?,"Troy University offers co-ed residence halls, residence halls for men, residence halls for women, apartments, and houses on the Troy, Alabama campus only. A map of the campus which shows the location of the on-campus residence facilities can be found on the Campus Map web page. Click one of the following on-campus housing facilities for a description and the cost. Clements Hall (coed) Cowart Hall (women) Honors Cottage (coed) Rushing Hall (coed) Newman Center (coed) Pace Hall (coed) Shackelford Hall (coed) Trojan Village (coed) University Apartments (coed) More information about student housing can be found on the Troy University Housing web page. https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44503
When can I move in?,"Move-in Schedule Residents will receive instructions from the Housing and Residence Life Office before time to move in each semester. Check in dates/times is included in students electronic assignment email notification. Move-in dates usually begin the Saturday before the first day of registration. Residents are required to personally check in with the residence staff of their individual building. Rooms keys will be obtained during check-in. If a resident has checked in early or stayed during the interim, he/she is responsible for checking in with the staff during regular check-in. Notification must be given to the Housing and Residence Life Office concerning late check-in. Without such notification, the resident will lose his/her room assignment after 5:00 p.m. on the last day of registration. Contact information for housing at Troy University can be found on the Contact Us web page. More information about student housing can be found on the Troy University Housing web page. https://www.troy.edu/student-life-resources/housing/move-in-guide.html",https://helpdesk.troy.edu/TDClient/1924/Portal/KB/ArticleDet?ID=44684
